country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
US,"While this wine is clean and vibrant, it tastes off dry. With its honeyed finish and flavors of peach, nectarine and apricot jam, this is one of the most pleasant California Rieslings on the market. It's easy to drink with ham, sausage and slightly sweet Asian fare.",,88,14.0,California,Santa Barbara County,Central Coast,,,Fess Parker 2011 Riesling (Santa Barbara County),Riesling,Fess Parker
Austria,"The nose spells delicacy and the palate proves it: this is a light-footed filigree and yet has a firm, straight backbone of spice and zest. Its midpalate texture slowly grows on you and draws you in with mossy notes of pear and ivy.",Obere Steigen,92,22.0,Traisental,,,Anne Krebiehl MW,@AnneInVino,Markus Huber 2015 Obere Steigen Grüner Veltliner (Traisental),Grüner Veltliner,Markus Huber
US,"A saignée-method rosé given three months in neutral French oak, this wine is dark raspberry in color. Vibrant and fresh, it offers swirls of spicy herb and wild strawberry, a hint of watermelon adding to its mouthwatering quality. Dry and savory, it also has some meat on its bones, a lovely go-to for meals of all kinds.",Rosé of,90,24.0,California,Fort Ross-Seaview,Sonoma,Virginie Boone,@vboone,Fort Ross 2013 Rosé of Pinot Noir (Fort Ross-Seaview),Pinot Noir,Fort Ross
France,"A lightly smoky aroma shows the wood aging of this wine. It is toasty, with a mineral touch, and the ripe yellow fruits are developing well. Smooth and potentially rich, this needs a few more months to show at its best. Drink from 2015.",Clos de Grand Père,90,31.0,Burgundy,Mâcon-Vinzelles,,Roger Voss,@vossroger,La Soufrandière 2012 Clos de Grand Père  (Mâcon-Vinzelles),Chardonnay,La Soufrandière
US,"This bottling is the winery's most expensive wine, and usually its best. Production of the '08 was unusually low, resulting in amazing concentration. It's basically a detonation of cherries, raspberries, currants, cola and mocha. New oak is present, in the form of delicate toast and wood spice, but is balanced. So silky and delicious now, you can drink it, but the tannic balance suggests the cellar. Will evolve over the next 12 years, maybe longer.",Bien Nacido Vineyard X Block The Good Nacido,94,100.0,California,Santa Maria Valley,Central Coast,,,Qupé 2008 Bien Nacido Vineyard X Block The Good Nacido Syrah (Santa Maria Valley),Syrah,Qupé
US,"A simple wine, extracted and jammy in raspberries, cherries and blackberries. Very high alcohol and black pepper flavors combine to create a hot mouthfeel. The wine is also sweet in glycerine.",Cuvée F,84,34.0,California,Santa Barbara County,Central Coast,,,Scott Cellars 2008 Cuvée F Sangiovese-Syrah (Santa Barbara County),Sangiovese-Syrah,Scott Cellars
US,"This is a tart, fresh and full-bodied wine that shows off the Rutherford appellation in its lush dustiness and firm, integrated tannin. Coconut shavings and crisp red fruit complement classic characteristics of cedar and dried herb.",,91,62.0,California,Rutherford,Napa,Virginie Boone,@vboone,Terlato 2013 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Terlato
Spain,"Dark purple in color, this Syrah-led blend with 15% Monastrell is jammy, toasty, herbal and minty green on the nose. A muscular, rubbery and tannic palate features blackberry flavors backed by a blackened finish of bitter coffee and herbal notes.",Selección,87,18.0,Levante,Jumilla,,Michael Schachner,@wineschach,Monterebro 2012 Selección Syrah (Jumilla),Syrah,Monterebro
Spain,"Raisin aromas could use a bit more lift and freshness. This Rioja feels grabby due to rubbery tannins. Soupy, slightly herbal berry flavors finish on chocolaty notes but also a choppy sense of roughness.",Reserva,88,35.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Palacio de Primavera 2012 Reserva  (Rioja),Tempranillo,Palacio de Primavera
Spain,"Blackberry and dark plum aromas are solid but not overly rich or oaky. In the mouth, this Tempranillo is juicy, flush and friendly in feel. Blackberry and plum flavors are big and loud, but also clean. Notes of licorice and herbs work their way onto a hard-driving finish.",,88,20.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Tineta Avante 2011  Ribera del Duero,Tinto Fino,Tineta Avante
US,"The aromas of apricot and other stone fruit are light but pleasing. The palate shows elegance and detail, with ale notes on the finish.",,87,16.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,College Cellars 2015 Roussanne (Walla Walla Valley (WA)),Roussanne,College Cellars
US,"Thick, rich and almost cordial-like, this has generous fruit and oak components. It's ready to be paired with a peppered steak.",,87,17.0,California,Mendocino County,,Virginie Boone,@vboone,Weibel Family 2009 Zinfandel (Mendocino County),Zinfandel,Weibel Family
France,"This ripe, full wine has both great minerality and rich white fruits that are aromatic as well as very fresh. The fruits are laced with citrus to give a complex wine that deserves aging. Drink from 2017.",Domaine Saint-Rémy Schlosberg Grand Cru,92,35.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Ehrhart 2012 Domaine Saint-Rémy Schlosberg Grand Cru Riesling (Alsace),Riesling,Domaine Ehrhart
US,"Among the four vineyards used by Angel Vine, the Avery stands apart for its detail, grip and length. Blue fruits take center stage—plums and berries—along with a tasty lick of coffee and chocolate. You may pick up a hint of the tack room and a streak of fennel in the finish.",Avery Vineyard,91,20.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Angel Vine 2011 Avery Vineyard Zinfandel (Columbia Valley (WA)),Zinfandel,Angel Vine
France,"Soft notes of honeysuckle hover over the waxy scent of fresh honeycomb. Meadow flowers gild those flavors with honest freshness. The palate holds a gentle softness, letting the honeyed, developed notes of this restrained Gewurztraminer convey both fir-honey bitterness and blossom-sweet ease. This shows supreme balance and seems young and fresh for an eight-year-old wine. It comes from a supreme, balanced and cool year that shows its mettle with age.",Vendange Tardive,94,75.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Hugel 2008 Vendange Tardive Gewurztraminer (Alsace),Gewürztraminer,Hugel
Georgia,"This inky-violet wine has a nose of raspberry, violet and herbes du Provence. It is soft in the mouth, with flavors of blackberry, black cherry, mountainside herbs and smoke, and a bright splash of cranberry on the finish.",,89,13.0,Kakheti,,,Mike DeSimone,@worldwineguys,Schuchmann Wines 2014 Saperavi (Kakheti),Saperavi,Schuchmann Wines
US,"This sustainably grown Arroyo Seco wine has a very reluctant nose that eventually gives off some red-purple fruits. The palate offers a bit more, with cranberry and some slate.",,83,22.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Carmel Road 2013 Pinot Noir (Monterey),Pinot Noir,Carmel Road
Portugal,"This bottling shows a rich, wood-aged wine, full of ripe yellow and tropical fruits as well as rich toasty flavors. The wine is warm, rounded, spicy and with its impressive structure still developing, it has the potential to age well. The wine is named to celebrate the second Lança generation in charge at the estate. Drink from 2017.",Gerações Colheita Seleccionada Branco,91,30.0,Alentejano,,,Roger Voss,@vossroger,Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano),Portuguese White,Herdade Grande
US,"This widely available white is unfussy and medium bodied, with toasted oak and baked apple flavors, brightened by a squeeze of lemon.",Estate,85,18.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Alexander Valley Vineyards 2015 Estate Chardonnay (Alexander Valley),Chardonnay,Alexander Valley Vineyards
US,"Thick, heavy, potent and mouth-coating, this is a liquorous, almost syrupy wine, sure to please those who like big fruit, big tannins, and big barrel flavors. Chocolate, espresso, tar and bourbon barrel flavors dominate, in keeping with the house style.",Bacchus Vineyard,90,28.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Barrister 2009 Bacchus Vineyard Syrah (Columbia Valley (WA)),Syrah,Barrister
US,"This Pinot is lovely for two reasons. One, it exhibits the tremendous balance and richness of a well-grown Santa Rita Hills Pinot. Secondly, the superb 2012 vintage makes it especially noteworthy. The raspberry and cherry fruit is ripe and fruity, and yet the finish is absolutely dry and complex. So good now, it's hard to recommend cellaring it, but you should, for up to eight years. A new brand from Margerum.",,92,87.0,California,Sta. Rita Hills,Central Coast,,,Barden 2012 Pinot Noir (Sta. Rita Hills),Pinot Noir,Barden
Italy,"Here is a fun, informal bottling of the little-known Ruché grape. The wine offers medium structure and intensity and a high level of berry fruit and freshness. It's an easy drinking wine that would pair well with appetizers or on its own before dinner.",9.99,86,15.0,Piedmont,Ruché di Castagnole Monferrato,,,,Cantine Sant'Agata 2006 9.99  (Ruché di Castagnole Monferrato),Ruché,Cantine Sant'Agata
US,"This is the top bottling of Thomas Fogarty's ambitious Bordeaux-aimed brand, and it shows, with regionally distinctive aromas of crushed rocks, blueberry, tar and smoke. The intriguing palate is elegance defined, with sexy tannins and mineral-driven flavors of black dirt, wet slate and squeezed blueberry. It makes for enlightening drinking now, but offers measured components that will last until at least 2030.",Apex Gist Ranch Estate,94,95.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Lexington 2011 Apex Gist Ranch Estate Red (Santa Cruz Mountains),Bordeaux-style Red Blend,Lexington
Chile,"Toasty aromas announce a strong barrel influence, but otherwise there's not much going on. In the mouth, this is plump and soft, with moderate acidity. Flavors of baked apple are heavy, warm and finish resiny, with a leftover note of tropical fruits including melon.",Gran Reserva,85,14.0,Casablanca Valley,,,Michael Schachner,@wineschach,Viu Manent 2012 Gran Reserva Chardonnay (Casablanca Valley),Chardonnay,Viu Manent
US,"Red wine doesn't get much smoother—and values in Pinot Noir don't get much better—than this. The wine has attractive red- and black-cherry aromas, a sense of richness on the palate and a silky mouthfeel that's hard to resist. Subtlety and restraint keep this wine from tiring the taste buds.",,90,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,Mirassou 2015 Pinot Noir (California),Pinot Noir,Mirassou
US,"This wine is equal parts Grenache and Mourvèdre topped off with Syrah (8%). The aromas offer fascinating, focused notes of coffee, bacon fat, crushed gravel, spice and herbs. The blue-fruit flavors bring a sense of purity and delicacy, fleshing out over time.",La Fraternité,92,28.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Kevin White 2013 La Fraternité Red (Yakima Valley),Rhône-style Red Blend,Kevin White
US,"Charred blackberries and deep caramel notes make up the nose of this wine named after the cellar master. Medium in feel, the palate shows a decent roundness, however racing acids cut the midpalate short. Additional black fruit carry the flavors, with black pepper marking the finish.",Paul Shaffer 5th Edition,86,50.0,Virginia,Monticello,,Alexander Peartree,,Veritas 2013 Paul Shaffer 5th Edition Petit Verdot (Monticello),Petit Verdot,Veritas
US,"Layered in ripe red fruit like cassis and currant, it offers smoothness amidst grippy tannins and savory suggestions of toasty oak, black tea and soy. All need air and time to develop more fully. Pair with a classic pepper steak and garlicky mashed potatoes.",Flat Rock Ranch,89,85.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Laird 2011 Flat Rock Ranch Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Laird
Italy,"This finessed and delicious blend of 80% Nerello Mascalese and 20% Nerello Cappuccio delivers creamy strawberry, Morello cherry, white pepper and clove sensations, with hints of Mediterranean herbs. The silky palate is balanced by bright acidity.",Rossodiverzella,90,25.0,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Benanti 2012 Rossodiverzella  (Etna),Red Blend,Benanti
France,"Grenache, Cinsault and Syrah form a soft warm blend that is ready to drink. It has acidity and spice as well as red berries. It's a fine apéritif style with its light touch and final crispness. Drink now.",Domaine Saint Jean le Vieux,87,13.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Compagnie Viticole de Provence 2016 Domaine Saint Jean le Vieux Rosé (Côtes de Provence),Rosé,Compagnie Viticole de Provence
US,"This wine is a blend of Cabernet Sauvignon, Syrah and Merlot, all from Burgess Vineyard. The aromas display each variety in turn, with notes of high-toned herbs followed by plum and dried cherries. Tart flavors show a focus on acid, and are far more elegant in style than most wines from this vintage.",Cove Cuvée,88,25.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Burnt Bridge 2013 Cove Cuvée Red (Columbia Valley (WA)),Red Blend,Burnt Bridge
US,"This is a big, gutsy Pinot Noir, the kind purists object to as being Rhône-like. But that's what MacRostie's vineyard gives them, and the wine is brilliant in its power and California deliciousness. With thick tannins but a silky texture, it offers waves of raspberries, cherries, currants, pomegranates, baker's chocolate and cola. Should develop well over the next six years.",Wildcat Mountain Vineyard,93,45.0,California,Sonoma Coast,Sonoma,,,MacRostie 2005 Wildcat Mountain Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,MacRostie
Australia,"Peach and pear fruit come together in this simple, fruity, but satisfying Chardonnay from Western Australia. It's moderately rich and full in body, but nicely silky in texture.",,88,17.0,Western Australia,Western Australia,,Joe Czerwinski,@JoeCz,Mad Fish 2015 Chardonnay (Western Australia),Chardonnay,Mad Fish
US,"Cedary, spicy aromas and flavors rather than a strong fruit character define this medium-bodied, soft-textured wine. It is heavy on the spice and light on acidity and tannins.",,85,10.0,California,California,California Other,Jim Gordon,@gordone_cellars,Leaping Horse 2014 Merlot (California),Merlot,Leaping Horse
US,"This is built for both immediate appeal and graceful aging. It's toasty and chocolatey, smooth as silk, but with the depth and balance for further development. Not a big wine, but quite pretty, textural and detailed.",Durant Vineyards Clonmacnois,91,55.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Owen Roe 2014 Durant Vineyards Clonmacnois Pinot Noir (Dundee Hills),Pinot Noir,Owen Roe
US,"Subtly scented with orange rind and spice, this dry Michigan Riesling has pleasant apple and orange zest flavors accented by brisk black tea notes that leave a pronounced astringency on the palate. An easy-drinking choice from an up-and-coming wine region.",Dry,83,13.0,Michigan,Old Mission Peninsula,,Anna Lee C. Iijima,,Chateau Grand Traverse 2010 Dry Riesling (Old Mission Peninsula),Riesling,Chateau Grand Traverse
US,"An acid-driven wine, this has a palpable tartness, with feeble notes of raw wood, blueberry and smoke. Pairing this with a grilled pizza with a layer of tomato sauce could help tame the wild acids.",Jeunette Rouge,81,9.0,Missouri,Missouri,,,,Les Bourgeois NV Jeunette Rouge Red (Missouri),Red Blend,Les Bourgeois
Spain,"Intense but classy aromas of berry fruits, minerality, vanilla and chocolate are milder and richer than the wine's racy, structured, acid-rich palate. Flavors of blackberry come with a shock of bracing tartness, while oaky aftershocks offer up chocolate and woodspice flavors. A zesty, firm, hard-driving finish brings a touch of sharpness. Drink through 2022.",Pagos Viejos,92,100.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Artadi 2010 Pagos Viejos  (Rioja),Tempranillo Blend,Artadi
US,"A big, dry, tannicly astringent wine. It's somewhat awkward now and could develop softness in a year or two. Right now it's like Zinfandel, with brambly tannins and flavors of dark wild berries, leather and black pepper.",Morse Vineyards,85,28.0,California,Amador County,Sierra Foothills,,,IL Gioiello 2006 Morse Vineyards Montepulciano (Amador County),Montepulciano,IL Gioiello
France,"It's basically one-third each Grenache Blanc, Roussanne and Viognier, but the Viognier speaks loudest in the finished wine. Apricot and peppery-gingery spice notes mark the nose, while the texture is bolstered by Viognier's phenolic content without becoming bitter. Drink now through 2015.",La Reine des Bois,90,40.0,Rhône Valley,Lirac,,Joe Czerwinski,@JoeCz,Domaine de la Mordorée 2013 La Reine des Bois White (Lirac),Rhône-style White Blend,Domaine de la Mordorée
US,"This is the best Pinot Noir the winery has produced since 2004. The wine is so wonderfully full in the mouth and fabulously complex in flavor that it's hard to believe the alcohol is under 13%. With lovely, haunting flavors of raspberries, red currants, mushrooms, white pepper and sandalwood, it justifies the hype of the 2011 vintage. Will age well. Drink now–2021.",Rapley Trail Vineyard Henry Ayrton's Block Estate Grown,95,80.0,California,Santa Cruz Mountains,Central Coast,,,Thomas Fogarty 2011 Rapley Trail Vineyard Henry Ayrton's Block Estate Grown Pinot Noir (Santa Cruz Mountains),Pinot Noir,Thomas Fogarty
US,"Base notes of vanilla, peach and honeysuckle linger on the nose as honeydew and chamomile show in the background. Tangerine, honeysuckle, peach, honeydew and ginger show on the rich palate, with a zip of acidity o the long, tingly finish.",Estate Bottled,88,24.0,Virginia,Monticello,,Carrie Dykes,,Trump 2015 Estate Bottled Viognier (Monticello),Viognier,Trump
US,"Treading between sharp citrus and the grape's more oily tendencies, this offers aromas of Lemonhead candy, honeysuckle and browned butter. The smoky flavors lean toward marshmallow and cooked peach, but the amazingly punchy acidity gives a long, vanilla-laced finish.",Anna's Estate Vineyard,91,35.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Adelaida 2012 Anna's Estate Vineyard Viognier (Paso Robles),Viognier,Adelaida
France,"Tight blackberry and blueberry flavors give this wine a stalky, fruity character at the start. It's still very young, very textured, mineral and chewy. Underneath there is a more juicy fruit with a touch of herbal acidity at the end.",Roncerets Premier Cru,94,,Burgundy,Volnay,,Roger Voss,@vossroger,Domaine Nicolas Rossignol 2011 Roncerets Premier Cru  (Volnay),Pinot Noir,Domaine Nicolas Rossignol
Argentina,"Sweet aromas that verge on syrupy set up a sweet and easy palate of black cherry and cassis. This has a nice texture as it shows good body, feel and fruit quality. Maipe means “lord of the winds” in a native language, and while this Malbec won't transport you anywhere, it's good for the price.",,86,10.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Maipe 2006 Malbec (Mendoza),Malbec,Maipe
US,"Tightly wound now, with firm acids and tannins providing a good structure. There's a solid core of cherries and currants, but it's obscured. Needs time. Give it 4–5 years in a proper cellar.",Melville Vineyard,89,62.0,California,Sta. Rita Hills,Central Coast,,,Foxen 2011 Melville Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Foxen
US,"Aromas like cedar and mint are attractive and tempting. Concentrated black-cherry flavors fill out a broad mouthfeel and lingering finish. A fine-grained layer of tannins adds structure, keeping everything balanced.",Tephra Ridge Vineyard,91,40.0,California,Lake County,,Jim Gordon,@gordone_cellars,Langtry 2012 Tephra Ridge Vineyard Cabernet Sauvignon (Lake County),Cabernet Sauvignon,Langtry
US,"A savory and earthy spin on a cool climate vineyard, this bottling offers salty dried meat, iron, dust, red plum and raspberry aromas. It's light bodied on the palate yet firmly structured with tannins, offering red plum fruit and peppery spice. Refreshing and elegant.",Presqu'ile Vineyard,92,45.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Sweetzer Cellars 2014 Presqu'ile Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Sweetzer Cellars
US,"Pretty run of the mill, a tannic Cab with flavors of herbs and berries. Fulfills the basic requirements of dryness and full-bodied balance. Drink now.",Silver Label,84,20.0,California,Sonoma Valley,Sonoma,,,B.R. Cohn 2005 Silver Label Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,B.R. Cohn
Chile,"Mild citrus and grassy aromas are quiet, while this feels pithy and flat for a young wine. Tangerine and persimmon flavors are not on the money for Sauvignon Blanc, with a mildly bitter and pyrazinic finish.",,82,9.0,Central Valley,,,Michael Schachner,@wineschach,Alto Los Romeros 2014 Sauvignon Blanc (Central Valley),Sauvignon Blanc,Alto Los Romeros
US,"A sort of second wine to Laurel Glen's estate Cabernet, this is quite simply a wonderful wine. It's dry, tannic and crisply balanced, with rich flavors of blackberries, currants, cola, herbs and sweet, smoky sandalwood. Really compelling, and at this price, a steal in a great coastal California Cabernet.",Counterpoint,92,30.0,California,Sonoma Mountain,Sonoma,,,Laurel Glen 2007 Counterpoint Cabernet Sauvignon (Sonoma Mountain),Cabernet Sauvignon,Laurel Glen
Argentina,"Oaky aromas of sandalwood and spice accent dark-berry scents. This feels full, tannic and drawing, but not rough. Woody roasted plum and blackberry flavors remain oaky on a finish that includes vanilla notes.",Gran Mascota,89,20.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Mascota 2014 Gran Mascota Malbec (Mendoza),Malbec,Mascota
Spain,"A big, balanced, bombastic Montsant made from one-third each of Mazuelo, Garnacha and Syrah. On the bouquet it's the fruit that endears but mocha and vanilla stick out. The flavor profile sees lemony oak, blackberry, blueberry and minerality. Spicy and long late with size and grip. Drink now through 2015.",Mas de Can Blau,93,45.0,Catalonia,Montsant,,Michael Schachner,@wineschach,Can Blau 2007 Mas de Can Blau Red (Montsant),Red Blend,Can Blau
US,"Just what the doctor ordered in a likeable, affordable white wine. Packs plenty of ripe spearmint and lemon flavors with enough acidity to make it bright and clean. A tiny amount of sugar will satisfy your sweet tooth without compromising the wine's basic dryness. Best Buy.",,87,9.0,California,Lodi,Central Valley,,,Peirano 1999 Sauvignon Blanc (Lodi),Sauvignon Blanc,Peirano
Chile,"With fruit from coastal Leyda in the blend, this Curicó wine surprises with crisp, focused understatement. The mouth is fresh but basic, with juicy, perky apple and citrus flavors followed by a crisp, slightly pithy finish. Overachieves in the context of  Echeverria's past Sauvignon Blancs.",Reserva,89,11.0,Molina,,,Michael Schachner,@wineschach,Echeverria 2010 Reserva Sauvignon Blanc (Molina),Sauvignon Blanc,Echeverria
US,"Elegantly layered on the nose, this region-showcasing project presents baked plums, pure black-cherry extract and mulberry alongside nutmeg and clove spice. The palate offers a steady evolution of savory flavors, from black cherry and exotically spiced berries to espresso bean, garam masala, plum rinds, peppercorn and allspice.",Bandit's Camp,93,50.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Expression 34 2013 Bandit's Camp Pinot Noir (Sta. Rita Hills),Pinot Noir,Expression 34
US,"Agile and glossy, this has toasty apple, pear and tropical fruit flavors that continue to a light, fresh-tasting finish.",Rsv.,85,25.0,Virginia,Virginia,,,,Jefferson Vineyards 2012 Rsv. Chardonnay (Virginia),Chardonnay,Jefferson Vineyards
US,"Consistent in every way with the previous vintage, this barrel-fermented Sauvignon Blanc includes 9% Sémillon, both of which were sourced from 15-year-old vines. It's aromatic with scents of sweet herb and citrus, and it tastes of Meyer lemon and grapefruit, plus a hint of brioche.",,88,15.0,Washington,Snipes Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Upland Estates 2010 Sauvignon Blanc (Snipes Mountain),Sauvignon Blanc,Upland Estates
Spain,"Gritty, heavily roasted aromas of stewed berry, coffee grinds and compost are less than appealing, although with airing things improve. This is wide and blocky in the mouth, with ripe, raisiny, roasted black-fruit flavors matched by bitter espresso. Molasses and heat drive the finish on this pricey wine that's not in great shape.",Reserva,86,52.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Cathar 2006 Reserva  (Ribera del Duero),Tinto Fino,Cathar
Austria,"In the modern tradition of fruity, accessible Grüners, this is light and crisp, and packed with apple and citrus flavors. It has lively acidity, is fresh in character, and totally ready to drink now. Screwcap.",Hochterrassen,85,,Niederösterreich,,,Roger Voss,@vossroger,Salomon-Undhof 2012 Hochterrassen Grüner Veltliner (Niederösterreich),Grüner Veltliner,Salomon-Undhof
US,"Lighter aromas of turned earth, dried blueberries and beef jerky show on the nose of this blend of 34% Merlot, 26% Cabernet Sauvignon, 25% Petite Sirah and 15% Petit Verdot. The palate packs bright black raspberries and blackberries together with graphite and light cedar notes.",BDX,88,16.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Quadrant 2012 BDX Red (Paso Robles),Red Blend,Quadrant
Italy,"Here's a simple, no-fuss Prosecco Extra Dry with an interesting herbal component that recalls dried oregano or hay. There's peach and citrus fruit at the back that is carried forward by spicy effervescence. The mouthfeel is thin and tonic.",Extra Dry,84,12.0,Veneto,Prosecco di Conegliano e Valdobbiadene,,,,Terra Serena NV Extra Dry  (Prosecco di Conegliano e Valdobbiadene),Prosecco,Terra Serena
France,"This is a softly spicy wine that is understated and light. With its brisk acidity and flavors of citrus and lychee, it is an easy, gentle wine that is ready to drink now.",Tradition,86,18.0,Alsace,Alsace,,Roger Voss,@vossroger,Jean-Baptiste Adam 2012 Tradition Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam
US,"This nonvintage rosé, modeled after a Bandol, is a blend of grapes and vintages, yet retains superb freshness and offers unusual complexity. Rich and tart, with a creamy strawberry core, it also shows sandalwood highlights and a hint of barrel toast.",R Dry,91,35.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Domaine Serene NV R Dry Rosé (Oregon),Rosé,Domaine Serene
France,"Unusually complex for a rosé, this medium- to full-bodied wine offers a mix of red berries and melon, hints of cinnamon and clove, richness reminiscent of white chocolate and even a tinge of mocha on the lengthy finish. Drink now–2018.",,92,22.0,Rhône Valley,Tavel,,Joe Czerwinski,@JoeCz,Château la Genestière 2016  Tavel,Rosé,Château la Genestière
Spain,"Gaseous and rubbery on the nose, this is overpowered by a tire aroma and heavily reduced berry scents. It feels thick and ultrajammy, with overwhelming berry flavors in front of a heavy, hot finish.",Old Vines,83,20.0,Northern Spain,Calatayud,,Michael Schachner,@wineschach,Stylo 2009 Old Vines Garnacha (Calatayud),Garnacha,Stylo
Italy,"A blend of 60% Primitivo and 40% Negroamaro, this features aromas of spicy plum, ripe berry, vanilla and a balsamic note. The firm palate offers blackberry, black cherry, espresso and licorice alongside assertive tannins that leave an astringent finish.",Amativo,87,38.0,Southern Italy,Salento,,Kerin O’Keefe,@kerinokeefe,Cantele 2012 Amativo Red (Salento),Red Blend,Cantele
Italy,"This bright Brunello is accented by a few sharp points of acidity that will soften with more years of bottle aging. On the nose, the wine shows layers of wild berry, bramble, white mushroom, moist earth and pressed violets.",,91,45.0,Tuscany,Brunello di Montalcino,,,,San Filippo 2006  Brunello di Montalcino,Sangiovese Grosso,San Filippo
France,"The nose is slightly subdued with a faint touch of lemon balm and orange. The palate unpacks this with notes of both citrus and earth. There is something textured about that earthy feel, while all the freshness of lemon and orange zest dazzles the senses. This has purity and precision which lend a sense of weightlessness despite the undoubted power of the wine. The finish is wonderfully dry, refreshing and absolutely lip-smacking. Drink 2017–2030.",Geisberg Grand Cru,94,39.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,André Kientzler 2015 Geisberg Grand Cru Riesling (Alsace),Riesling,André Kientzler
Germany,"The nose is all wildflower bouquets and honey on this lavishly ripe, full-bodied Riesling. It's dry in style, yet buoyantly fruity, bursting with flavors of honey tangerine and quince preserves. Finishes long with a lingering mineral slick.",Nierstein Hipping Trocken GG,93,58.0,Rheinhessen,,,Anna Lee C. Iijima,,Louis Guntrum 2012 Nierstein Hipping Trocken GG Riesling (Rheinhessen),Riesling,Louis Guntrum
US,"Rick Longoria shows increasing mastery over this popular variety, lifting it into true complexity. After an outstanding 2010 vintage, his 2011 is even better, showing the same crisp acidity and savory orange, apricot and honey flavors, but with even greater elegance.",,91,19.0,California,Santa Barbara County,Central Coast,,,Longoria 2011 Pinot Grigio (Santa Barbara County),Pinot Grigio,Longoria
US,"This is too oaky, but it's dry and crisp in acidity, with interesting citrus, tropical fruit and pear flavors. The heavy application of oak results in buttered toast and caramel accents.",,85,30.0,California,Russian River Valley,Sonoma,,,Gallo Signature Series 2010 Chardonnay (Russian River Valley),Chardonnay,Gallo Signature Series
Portugal,"Gold in color, this wine deftly balances the sweetness of the orange marmalade flavor with the dry edge that comes from the spirit and the slight tannic character. Ready to drink.",Adriano Reserva White,86,20.0,Port,,,Roger Voss,@vossroger,Ramos-Pinto NV Adriano Reserva White  (Port),Port,Ramos-Pinto
US,"Another fine Cabernet from Prime, following a great 2009. This '10 is perhaps a little off pace from the prior vintage, but is nonetheless impressive. Dry and smoothly tannic, it shows complicated blackberry, blueberry, black currant, sage and mineral flavors. Give it at least six years in a good cellar.",,93,64.0,California,Coombsville,Napa,,,Prime 2010 Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,Prime
US,"Jammy raspberry, cherry, white chocolate and butterscotch flavors mark this easy-drinking Merlot. Soft in both tannins and acids, it will pair well with almost anything calling for a medium-bodied, fruity red.",Lot 5,86,20.0,California,Central Coast,Central Coast,,,Candor NV Lot 5 Merlot (Central Coast),Merlot,Candor
US,"Rich, forward and delicious, this has pineapple and peach jam flavors, with elaborate notes of buttered toast and caramel from the oak aging. It finishes dry.",,89,24.0,California,Santa Barbara County,Central Coast,,,Stephen Ross 2010 Chardonnay (Santa Barbara County),Chardonnay,Stephen Ross
